name,seconds,status
3_1_655215_2,39.062,ok
3_1_936684_4,47.214,ok
3_1_866700_5,40.695,ok
3_1_252563_1,33.949,ok
3_1_408807_1,36.017,ok
3_3_336604_1,30.628,ok
3_1_447535_1,31.941,ok
3_3_271377_1,31.061,ok
3_1_703080_1,33.698,ok
3_1_58604_2,32.558,ok
3_1_280904_4,34.837,ok
3_1_42423_4,30.878,ok
3_1_126635_1,32.557,ok
3_1_504175_1,32.355,ok
3_3_240149_1,34.124,ok
3_1_161700_2,32.934,ok
3_3_50172_1,28.104,ok
3_1_664563_1,32.656,ok
3_1_592328_1,37.475,ok
3_1_597915_1,33.554,ok
3_1_329427_1,34.919,ok
3_1_378695_1,33.777,ok
3_1_196911_1,30.894,ok
3_1_432012_1,31.396,ok
3_1_662796_2,40.340,ok
3_3_587412_2,37.050,ok
3_1_853335_1,41.763,ok
3_1_30251_1,32.709,ok
3_1_355291_1,33.436,ok
3_1_190291_1,36.740,ok
3_1_470372_1,31.891,ok
3_1_117720_1,32.478,ok
3_3_157300_2,31.178,ok
3_1_311116_1,31.892,ok
3_1_484300_1,34.066,ok
3_1_400040_1,31.546,ok
3_1_672300_4,38.448,ok
3_1_456435_2,37.095,ok
3_1_116424_1,37.468,ok
3_3_787077_1,32.711,ok
3_1_273239_1,31.866,ok
3_1_455455_1,37.987,ok
3_1_393835_1,35.785,ok
3_1_401464_1,31.432,ok
3_1_213716_1,31.876,ok
3_1_547128_1,34.936,ok
3_1_337635_1,31.793,ok
3_3_895700_1,38.203,ok
3_1_293891_1,35.016,ok
3_1_119660_3,32.025,ok
3_1_936091_2,40.844,ok
3_1_110424_1,32.006,ok
3_3_866133_1,39.380,ok
3_1_230520_1,31.488,ok
3_1_780300_2,38.931,ok
3_1_903756_2,39.337,ok
3_1_136971_1,34.749,ok
3_1_564300_3,39.949,ok
3_1_24215_1,28.791,ok
3_1_42316_1,30.545,ok
3_1_780332_1,43.643,ok
3_1_916300_1,41.115,ok
3_1_334235_1,33.155,ok
3_1_342171_1,31.995,ok
3_1_931736_1,35.208,ok
3_1_225228_1,30.386,ok
3_3_392472_1,31.589,ok
3_1_589784_1,32.657,ok
3_1_865755_1,41.070,ok
3_3_564980_1,31.802,ok
3_1_105791_3,33.780,ok
3_1_808623_1,37.630,ok
