name,seconds,status
5_1_250000_1,38.166,ok
5_5_390625_1,30.371,ok
5_1_1000000_1,34.406,ok
5_1_1012500_1,32.897,ok
5_1_2700000_1,34.750,ok
5_1_3515625_1,37.582,ok
5_1_6250000_1,47.900,ok
5_1_7500000_1,42.063,ok
5_1_7812500_1,43.470,ok
5_3_8100000_3,38.277,ok
5_1_8100000_3,43.073,ok
5_1_9000000_1,47.665,ok
5_1_13500000_3,47.824,ok
5_1_15000000_1,50.647,ok
5_1_16200000_1,50.615,ok
5_1_24300000_2,57.378,ok
5_1_24300000_4,54.672,ok
5_1_25000000_1,58.358,ok
5_1_25312500_1,56.765,ok
5_1_25312500_2,56.141,ok
5_1_27000000_1,55.371,ok
5_3_40500000_1,55.889,ok
5_1_40500000_1,62.777,ok
5_3_42187500_1,53.763,ok
5_1_42187500_1,62.794,ok
5_1_48600000_1,87.634,ok
5_1_48600000_3,66.401,ok
5_1_48600000_4,67.286,ok
5_1_48600000_5,65.298,ok
5_3_67500000_1,61.207,ok
5_1_67500000_1,95.352,ok
5_1_67500000_3,95.440,ok
5_1_72900000_2,75.429,ok
5_1_75000000_1,75.876,ok
5_1_75937500_3,78.722,ok
5_3_81000000_2,63.710,ok
5_3_112500000_1,75.714,ok
5_3_121500000_4,77.477,ok
5_1_121500000_1,86.599,ok
5_1_121500000_2,87.807,ok
5_3_125000000_1,77.309,ok
5_3_125000000_3,82.133,ok
5_1_135000000_2,94.450,ok
5_1_145800000_1,88.759,ok
5_1_145800000_5,88.802,ok
5_1_158203125_7,92.494,ok
5_3_202500000_1,88.609,ok
5_3_202500000_3,90.077,ok
5_1_202500000_1,101.664,ok
5_1_225000000_2,144.072,ok
5_1_227812500_1,103.018,ok
5_1_281250000_1,114.510,ok
5_3_303750000_1,98.585,ok
5_1_337500000_1,128.411,ok
5_1_337500000_4,163.305,ok
5_3_364500000_2,101.229,ok
5_1_364500000_3,126.979,ok
5_3_379687500_1,102.101,ok
5_3_379687500_2,103.101,ok
5_3_405000000_1,114.554,ok
5_1_405000000_1,162.125,ok
5_1_405000000_7,132.479,ok
5_1_405000000_12,134.463,ok
5_1_421875000_2,166.280,ok
5_3_480000000_1,110.427,ok
5_1_480000000_2,133.730,ok
5_1_607500000_4,194.710,ok
5_1_607500000_5,190.421,ok
5_1_632812500_1,149.647,ok
5_1_632812500_2,150.213,ok
5_1_632812500_3,149.868,ok
5_1_632812500_4,153.028,ok
5_1_632812500_5,152.494,ok
5_1_632812500_6,154.521,ok
5_3_675000000_2,130.338,ok
5_1_675000000_1,155.456,ok
5_3_729000000_1,133.718,ok
5_3_729000000_3,133.095,ok
5_3_729000000_4,137.847,ok
5_1_729000000_1,171.820,ok
5_1_729000000_2,173.130,ok
5_3_1012500000_1,154.152,ok
5_1_1012500000_1,188.443,ok
5_1_1012500000_2,181.895,ok
5_1_1012500000_3,184.100,ok
5_3_1125000000_2,153.873,ok
5_3_1125000000_3,156.443,ok
5_3_1215000000_2,162.895,ok
5_3_1215000000_3,161.751,ok
5_3_1215000000_5,163.096,ok
5_1_1215000000_1,197.756,ok
5_1_1215000000_2,203.014,ok
5_1_1423828125_3,208.947,ok
5_3_1518750000_3,183.783,ok
5_3_1687500000_3,183.876,ok
5_3_1687500000_5,179.776,ok
5_1_1687500000_2,233.473,ok
5_1_1687500000_3,232.320,ok
5_1_1687500000_5,234.590,ok
5_3_1822500000_2,189.360,ok
5_3_1822500000_3,193.807,ok
5_1_1822500000_1,235.850,ok
5_1_1822500000_2,233.111,ok
5_3_2025000000_1,203.872,ok
5_3_2025000000_3,199.628,ok
5_3_2025000000_6,197.689,ok
5_1_2025000000_5,341.616,ok
5_1_2025000000_8,261.927,ok
5_1_2025000000_9,334.531,ok
5_3_3037500000_1,236.952,ok
5_1_3037500000_1,294.678,ok
5_1_3037500000_3,291.194,ok
5_1_3037500000_7,377.977,ok
5_1_3645000000_4,321.205,ok
5_3_5695312500_2,424.393,ok
5_1_5695312500_1,377.289,ok
5_1_5695312500_2,394.011,ok
5_3_6075000000_7,310.557,ok
5_1_6075000000_1,394.115,ok
5_1_9112500000_1,475.082,ok
5_1_9112500000_3,598.291,ok
5_3_10125000000_1,404.950,ok
5_3_10125000000_3,391.507,ok
5_1_10125000000_1,638.224,ok
5_5_10125000000_1,329.281,ok
5_1_10125000000_12,505.995,ok
5_1_10125000000_17,662.330,ok
5_1_10125000000_20,596.226,ok
5_3_12000000000_4,426.757,ok
5_3_15187500000_3,468.574,ok
5_3_15187500000_5,491.459,ok
5_3_15187500000_8,478.848,ok
5_1_15187500000_9,584.182,ok
5_1_15187500000_10,605.780,ok
5_1_15187500000_11,613.761,ok
5_1_15187500000_13,612.275,ok
5_1_15187500000_14,649.365,ok
5_3_18225000000_2,696.535,ok
5_1_18225000000_1,688.082,ok
5_1_91125000000_1,1385.976,ok
5_1_91125000000_6,1379.382,ok
5_1_91125000000_16,1407.150,ok
